Note Name,Parent Node,Category,Connections,Description
Multi-language version requirements and priorities,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internationalization & Localization,"""[[Localization]], [[Global]], [[Strategy]]""","""Framework for deciding which courses are translated and into which languages first.,"""
Cultural adaptation and localization depth requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internationalization & Localization,"""[[Localization]], [[Culture]], [[Global]]""","""Policy defining whether content is simply translated or culturally ""transcreated."","""
Cultural sensitivity review requirements by geography,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internationalization & Localization,"""[[Global]], [[Culture]], [[Governance]]""","""Mandate for local stakeholders to review imagery and scenarios for regional appropriateness.,"""
Fact-checking and verification requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Accuracy & Currency,"""[[Accuracy]], [[QA]], [[Development Phase]]""","""Procedural mandate to verify all data points and technical steps before release.,"""
Content currency review and update cycles,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Accuracy & Currency,"""[[Maintenance]], [[Lifecycle]], [[Governance]]""","""Scheduled intervals for auditing existing content for technical obsolescence.,"""
Expiration dating for time-sensitive content,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Accuracy & Currency,"""[[Lifecycle]], [[LMS]], [[Maintenance]]""","""Hard dates after which specific training content is automatically retired or flagged.,"""
Peer review requirements and reviewer qualifications,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Assurance & Review Processes,"""[[Peer Review]], [[QA]], [[Maintenance]]""","""Definition of who is eligible to conduct quality checks on another's work.,"""
Quality gate criteria and go/no-go decision points,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Assurance & Review Processes,"""[[Quality Gates]], [[Workflow]], [[Project Management]]""","""Formal checklists that must be satisfied before a project moves to the next phase.,"""
User acceptance testing (UAT) participant selection,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Quality Assurance & Review Processes,"""[[UAT]], [[Testing]], [[Implementation Phase]]""","""Policy for selecting a representative group of learners to validate the pilot.,"""
Assessment blueprint or test plan requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment & Evaluation Design,"""[[Assessment]], [[Blueprint]], [[Design Phase]]""","""Mandated format for mapping test items back to specific learning objectives.,"""
Passing score setting methodologies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment & Evaluation Design,"""[[Cut Score]], [[Psychometrics]], [[Evaluation Phase]]""","""Standard procedures (e.g., Angoff method) for determining minimum competency scores.,"""
Assessment security and item exposure controls,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment & Evaluation Design,"""[[Security]], [[Item Bank]], [[Integrity]]""","""Policies to prevent cheating and the over-exposure of specific test questions.,"""
Minimum interactivity frequency or ratio requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Interactivity & Engagement Design,"""[[Engagement]], [[Pedagogy]], [[Design Phase]]""","""Mandate for a specific number of interactions per minute or slide (e.g., every 3-5 screens).,"""
Click-through prevention mechanisms,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Interactivity & Engagement Design,"""[[Navigation]], [[Forced Pacing]], [[LMS]]""","""Policy regarding forced navigation (locking the ""Next"" button) vs. learner control.,"""
Version control system usage requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Lifecycle Management,"""[[Version Control]], [[Git]], [[Maintenance]]""","""Mandate to use specific software to track and back up content revisions.,"""
Sunsetting and retirement criteria and communication,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Lifecycle Management,"""[[Sunsetting]], [[Lifecycle]], [[Communication]]""","""Protocols for notifying learners when a course will be removed from the catalog.,"""
Metadata schema and taxonomy requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Metadata & Tagging,"""[[Metadata]], [[Taxonomy]], [[LMS]]""","""Required data tags (e.g., duration, difficulty) for all learning assets.,"""
Design document templates and required sections,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Documentation & Specification,"""[[Design Doc]], [[Templates]], [[Design Phase]]""","""Mandated structure for high-level and detailed design documentation.,"""
Storyboard format and detail level requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Documentation & Specification,"""[[Storyboarding]], [[Standards]], [[Design Phase]]""","""Required depth of documentation for media, script, and interaction programming.,"""
In-person vs. virtual delivery ratio targets,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Delivery Modality Strategy & Mix,"""[[Modality]], [[ILT]], [[VILT]]""","""Strategic targets for the percentage of courses delivered via various methods.,"""
Classroom setup and configuration standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Modality Requirements - ILT,"""[[Facility]], [[ILT]], [[Logistics]]""","""Standards for physical room layout based on instructional method (e.g., pods vs. theater).,"""
Participant materials distribution methods,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Modality Requirements - ILT,"""[[Logistics]], [[Materials]], [[Implementation Phase]]""","""Policy regarding advance digital delivery vs. on-site physical handouts.,"""
Camera-on policies or recommendations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Modality Requirements - VILT,"""[[Engagement]], [[VILT]], [[Privacy]]""","""Policy governing whether learners must show video during virtual sessions.,"""
Progress tracking and completion criteria,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Modality Requirements - E-Learning,"""[[Completion]], [[Tracking]], [[LMS]]""","""Specific rules for what constitutes a ""finish"" (e.g., viewing 100% of slides vs. passing a test).,"""
Component sequencing requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Modality Requirements - Blended,"""[[Sequencing]], [[Blended Learning]], [[Design Phase]]""","""Rules for the order of operations in a blend (e.g., digital pre-work mandatory before ILT).,"""
Shadowing and reverse shadowing policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Modality Requirements - OJT,"""[[OJT]], [[Mentoring]], [[Implementation Phase]]""","""Standards for on-the-job training observation and practice cycles.,"""
Simulation environment access and reservation policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Modality Requirements - Sims & Labs,"""[[Simulations]], [[Facility]], [[Logistics]]""","""Procedures for booking high-demand specialized training labs.,"""
Lead time requirements for training announcements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Scheduling & Calendar Management,"""[[Notice Period]], [[Communication]], [[Ops]]""","""Minimum required window for announcing a course before the start date.,"""
Blackout periods or restricted scheduling windows,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Scheduling & Calendar Management,"""[[Blackout]], [[Business Cycle]], [[Ops]]""","""Specified times of the year (e.g., year-end close) when no training may be scheduled.,"""
Enrollment caps and waitlist management,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enrollment & Registration,"""[[Caps]], [[Waitlist]], [[Ops]]""","""Procedures for handling seat limits and automated waitlist processing.,"""
Cancellation notice requirements and consequences,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Enrollment & Registration,"""[[Cancellation]], [[Ops]], [[Governance]]""","""Policy on learner/manager notice required to avoid penalties or ""no-show"" fees.,"""
Facility reservation and room setup lead times,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Logistics & Operations - Physical,"""[[Facility]], [[Lead Time]], [[Logistics]]""","""Operational window required to book and prep a physical training space.,"""
Materials shipment and delivery timelines,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Logistics & Operations - Materials,"""[[Shipping]], [[Logistics]], [[Implementation Phase]]""","""Standard timelines for printing and shipping physical materials to global sites.,"""
Facilitation guide and script adherence requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Facilitation]], [[ILT]], [[Implementation Phase]]""","""Guidelines defining the degree to which instructors must stick to the script vs. adaptive delivery."""
Training timing and pacing adherence expectations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Pacing]], [[Scheduling]], [[Implementation Phase]]""","""Rules for session duration management and ensuring learning objectives are met within scheduled windows."""
Customization and adaptation approval requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Customization]], [[Approval]], [[Maintenance]]""","""Authority levels required for a trainer to modify standard materials for a specific audience."""
Participant engagement techniques and expectations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Engagement]], [[Pedagogy]], [[Implementation Phase]]""","""Mandated or recommended methods for maintaining participant focus and interaction."""
Question handling and parking lot procedures,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Communication]], [[ILT]], [[Implementation Phase]]""","""Protocols for managing in-class inquiries, including ""parking lots"" for out-of-scope topics."""
Ground rules establishment and enforcement,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Code of Conduct]], [[ILT]], [[Implementation Phase]]""","""Standards for establishing classroom norms and expectations at the start of training."""
Dealing with difficult participants protocols,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Conflict Resolution]], [[Facilitation]], [[Implementation Phase]]""","""Specific procedures for managing disruptive or uncooperative learners."""
Energy management and break timing flexibility,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Facilitation Standards & Practices,"""[[Pacing]], [[Well-being]], [[Implementation Phase]]""","""Guidelines for managing session flow and adjusting break times to maintain learner alertness."""
Co-facilitator role definition and responsibility,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Co-Facilitation & Team Teaching,"""[[Collaboration]], [[Teaming]], [[Implementation Phase]]""","""Policies defining how two or more instructors split teaching, logistics, and monitoring tasks."""
Facilitator handoff and transition protocols,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Co-Facilitation & Team Teaching,"""[[Workflow]], [[ILT]], [[Implementation Phase]]""","""Procedures for smooth transitions between different facilitators during multi-day or modular programs."""
Preparation and coordination requirements for teams,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Co-Facilitation & Team Teaching,"""[[Collaboration]], [[Planning Phase]], [[Implementation Phase]]""","""Rules for instructor collaboration before a team-taught session begins."""
Team debrief and feedback processes,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Co-Facilitation & Team Teaching,"""[[QA]], [[Evaluation Phase]], [[Facilitation]]""","""Mandate for co-facilitators to review performance and share insights after session completion."""
Guest speaker invitation and approval processes,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Guest Speakers & SMEs,"""[[SME]], [[External Partners]], [[Planning Phase]]""","""Formal workflow for vetting and authorizing external or subject-matter guest lecturers."""
Briefing and preparation requirements for guests,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Guest Speakers & SMEs,"""[[Communication]], [[SME]], [[Implementation Phase]]""","""Requirement to prepare guest speakers on organizational norms, tech, and audience expectations."""
Guest presentation content review and approval,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Guest Speakers & SMEs,"""[[QA]], [[SME]], [[Design Phase]]""","""Policy requiring organizational sign-off on any materials brought in by external SMEs."""
Guest honoraria or compensation policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Guest Speakers & SMEs,"""[[Compensation]], [[Finance]], [[Procurement]]""","""Defined compensation or gift limits for guest contributors."""
Guest confidentiality and non-disclosure requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Guest Speakers & SMEs,"""[[NDA]], [[Confidentiality]], [[Legal]]""","""Mandate for external speakers to sign NDAs before accessing internal training environments."""
Promotional material and contact sharing policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Guest Speakers & SMEs,"""[[Marketing]], [[SME]], [[Governance]]""","""Rules regarding when guest speakers can share their own marketing or contact info."""
Technical support availability and response SLAs,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Participant Support & Accommodations,"""[[Help Desk]], [[IT]], [[Implementation Phase]]""","""Defined SLAs for IT or LMS help desk response during active training."""
Learning support and tutoring availability,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Participant Support & Accommodations,"""[[Remediation]], [[Support]], [[Implementation Phase]]""","""Policies regarding the provision of supplemental 1-on-1 support for struggling learners."""
Disability accommodation request processes,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Participant Support & Accommodations,"""[[ADA]], [[Accessibility]], [[Compliance]]""","""Standard procedures for learners to request and receive legally mandated training adjustments."""
Language interpretation or translation support,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Participant Support & Accommodations,"""[[Localization]], [[Global]], [[Accessibility]]""","""Rules for providing translators or localized materials for non-native speaking participants."""
Lactation room and childcare considerations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Participant Support & Accommodations,"""[[Well-being]], [[Facility]], [[Logistics]]""","""Facilities and scheduling policies supporting parents attending training."""
Religious observance accommodation policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Participant Support & Accommodations,"""[[DEI]], [[Scheduling]], [[Ethics]]""","""Guidelines for accommodating prayer times or holy days during scheduled training."""
Neurodiversity accommodations and considerations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Participant Support & Accommodations,"""[[Neurodiversity]], [[Accessibility]], [[Design Phase]]""","""Specific design or facilitation adjustments for learners with ADHD, Autism, etc."""
Minimum attendance for completion credit,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[Completion]], [[Attendance]], [[Governance]]""","""Percentage of seat time required to earn completion credit or certification."""
Tardiness and early departure consequences,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[Attendance]], [[Governance]], [[Ops]]""","""Defined thresholds for late arrival or early exit that disqualify a learner from credit."""
Participation quality expectations and evaluation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[Engagement]], [[Evaluation Phase]], [[Pedagogy]]""","""Standards for evaluating the depth and relevance of learner contributions in class."""
Video/camera requirements for virtual sessions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[VILT]], [[Privacy]], [[Engagement]]""","""Rules regarding the use of webcams during virtual instructor-led training (VILT)."""
Multitasking and distraction policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[Productivity]], [[Engagement]], [[Implementation Phase]]""","""Organizational stance on learners performing non-training work during sessions."""
"Device usage policies (phones, laptops)",GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[Technology]], [[Distraction]], [[Implementation Phase]]""","""Restrictions on mobile phone or laptop use during live instruction."""
Recording and photography policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[Recording]], [[Privacy]], [[Compliance]]""","""Consent and notification rules for capturing video or audio of live training."""
Social media posting restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation Requirements,"""[[Social Media]], [[IP]], [[Communication]]""","""Restrictions on sharing training content or session details on public platforms."""
Professional behavior expectations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Code of Conduct & Learning Environment,"""[[Ethics]], [[Behavior]], [[Implementation Phase]]""","""General expectations for learner conduct and interpersonal interaction."""
Harassment and discrimination prevention,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Code of Conduct & Learning Environment,"""[[DEI]], [[Ethics]], [[Compliance]]""","""Mandated reporting and zero-tolerance rules for training-related misconduct."""
Psychological safety and respectful dialogue,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Code of Conduct & Learning Environment,"""[[Psychological Safety]], [[Ethics]], [[Pedagogy]]""","""Policy requiring an environment where learners feel safe to take risks and fail."""
Training confidentiality and privacy expectations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Code of Conduct & Learning Environment,"""[[Confidentiality]], [[Privacy]], [[Ethics]]""","""Rules preventing learners from sharing sensitive information discussed in peer activities."""
Collaborative vs. competitive environment norms,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Code of Conduct & Learning Environment,"""[[Culture]], [[Pedagogy]], [[Design Phase]]""","""Organizational preference for learner interaction models (e.g., leaderboards vs. teaming)."""
Feedback giving and receiving expectations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Code of Conduct & Learning Environment,"""[[Feedback]], [[Communication]], [[Evaluation Phase]]""","""Standards for how learners should give and receive constructive peer or instructor critique."""
Formative vs. summative assessment priorities,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Philosophy & Approach,"""[[Assessment]], [[Design Phase]], [[Evaluation Phase]]""","""Organizational priorities regarding check-ins during learning vs. final tests."""
Criterion-referenced vs. norm-referenced approaches,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Philosophy & Approach,"""[[Psychometrics]], [[Assessment]], [[Evaluation Phase]]""","""Policy choice between testing against standards vs. testing against peer averages."""
Competency-based vs. time-based completion,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Philosophy & Approach,"""[[CBE]], [[Completion]], [[Strategy]]""","""Rules for awarding credit based on proven skill vs. hours spent in seat."""
Mastery learning requirements and thresholds,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Philosophy & Approach,"""[[Mastery]], [[Design Phase]], [[Assessment]]""","""Defined cut-scores or performance levels required to progress in a curriculum."""
Assessment for learning vs. assessment of learning,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Philosophy & Approach,"""[[Pedagogy]], [[Assessment]], [[Design Phase]]""","""Emphasis on using tests as instructional tools rather than just for grading."""
Growth mindset and learning from failure,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Philosophy & Approach,"""[[Growth Mindset]], [[Remediation]], [[Evaluation Phase]]""","""Policies encouraging remediation and learning from failed assessment attempts."""
Assessment blueprint and specification requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Blueprint]], [[Documentation]], [[Design Phase]]""","""Mandate to document the mapping of test items to specific learning objectives."""
Learning objective alignment and coverage,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Alignment]], [[Objectives]], [[Design Phase]]""","""Requirement for every assessment task to directly measure a stated learning goal."""
Item difficulty and discrimination targets,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Psychometrics]], [[Assessment]], [[Design Phase]]""","""Standards for the difficulty (p-value) and discrimination (D-value) of test questions."""
Question format diversity requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Assessment]], [[Design Phase]], [[Modality]]""","""Requirement to use varied item types (MC, essay, sim) to improve assessment validity."""
Distractor quality standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Assessment]], [[Writing]], [[Design Phase]]""","""Standards for writing plausible but incorrect choices in multiple-choice questions."""
Item bank development and maintenance standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Item Bank]], [[Maintenance]], [[Ops]]""","""Procedures for updating, tagging, and retiring assessment questions over time."""
Pilot testing requirements for new items,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Pilot]], [[QA]], [[Design Phase]]""","""Mandate to verify new questions with a sample group before high-stakes use."""
Item exposure and rotation policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Security]], [[Item Bank]], [[Integrity]]""","""Rules for rotating questions to prevent cheating and maintain test integrity."""
Equating and scaling procedures,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Design & Construction,"""[[Psychometrics]], [[Assessment]], [[Evaluation Phase]]""","""Technical standards for ensuring different versions of a test are equivalent in difficulty."""
Testing environment standards and proctoring,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - General,"""[[Proctoring]], [[Environment]], [[Implementation Phase]]""","""Physical or digital standards for where and how assessments are conducted."""
Assessment time limits and extension policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - General,"""[[Scheduling]], [[Accessibility]], [[Ops]]""","""Policies governing the duration of tests and the criteria for granting extensions."""
Open-book vs. closed-book assessment policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - General,"""[[Assessment]], [[Materials]], [[Implementation Phase]]""","""Rules regarding learner access to manuals or notes during an assessment."""
Reference material and job aid access,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - General,"""[[Job Aid]], [[Implementation Phase]], [[Assessment]]""","""Policy on allowing learners to use the same tools they would have on the job during testing."""
Collaboration vs. independent work policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - General,"""[[Collaboration]], [[Integrity]], [[Implementation Phase]]""","""Specific limits on peer-to-peer interaction during an assessment."""
Calculator and software tool usage permissions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - General,"""[[Technology]], [[Assessment]], [[Implementation Phase]]""","""Authorized use of calculators, software, or specific devices during a test."""
Accommodation for disabilities or language,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - General,"""[[Accessibility]], [[Localization]], [[Compliance]]""","""Rules for providing extra time or translated dictionaries for non-native speakers."""
Identity verification methods for remote testing,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - Online/Remote,"""[[Security]], [[Identity]], [[VILT]]""","""Methods for confirming the person taking the test is the intended learner (remote)."""
Browser lockdown and monitoring requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - Online/Remote,"""[[Security]], [[Technology]], [[Integrity]]""","""Mandate to use software that prevents opening other windows during online testing."""
Environmental requirements for remote exams,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - Online/Remote,"""[[Environment]], [[Security]], [[Ops]]""","""Standards for the lighting and privacy of a learner's remote testing space."""
Live vs. automated proctoring policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - Online/Remote,"""[[Proctoring]], [[AI]], [[Security]]""","""Policy choosing between live human oversight vs. AI-monitored testing."""
Monitoring disclosure and consent requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - Online/Remote,"""[[Privacy]], [[Consent]], [[Legal]]""","""Requirement to obtain learner agreement before using proctoring recordings."""
Technical requirement verification for exams,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - Online/Remote,"""[[Technology]], [[Readiness]], [[Ops]]""","""Procedures for testing a learner's device and connection before an online exam begins."""
Incident response for technical exam failures,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - Online/Remote,"""[[Response]], [[Incidents]], [[Security]]""","""Protocols for handling tech failures or disconnects during a timed assessment."""
In-person check-in and identity verification,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - In-Person,"""[[Identity]], [[Security]], [[ILT]]""","""Standard workflow for verifying credentials before an in-person exam."""
Prohibited item and storage policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - In-Person,"""[[Security]], [[Logistics]], [[ILT]]""","""List of objects (phones, bags) not allowed in the physical testing center."""
Scratch paper and note-taking policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - In-Person,"""[[Integrity]], [[Logistics]], [[ILT]]""","""Rules regarding the use and destruction of scratch paper in an exam room."""
Restroom break and departure procedures,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - In-Person,"""[[Logistics]], [[ILT]], [[Ops]]""","""Defined procedures for learners needing to leave the room during a timed test."""
Examination security and cheating prevention,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - In-Person,"""[[Security]], [[Integrity]], [[ILT]]""","""Physical security measures (seating gaps, monitoring) for in-person exams."""
Invigilator training and responsibilities,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Assessment Administration - In-Person,"""[[Training]], [[Facilitation]], [[Implementation Phase]]""","""Standards for the personnel responsible for overseeing physical testing."""
Passing score and cut-score setting methodologies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[Psychometrics]], [[Cut Score]], [[Evaluation Phase]]""","""Methodologies (e.g., Angoff) for determining the minimum passing grade."""
Pass/fail vs. graded proficiency levels,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[Grading]], [[CBE]], [[Evaluation Phase]]""","""Definitions of what constitutes ""Basic,"" ""Proficient,"" or ""Expert"" scores."""
Partial credit and multi-step scoring policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[Assessment]], [[Evaluation Phase]], [[Design Phase]]""","""Policies regarding awarding points for partially correct multi-step answers."""
Weighting of different assessment components,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[Grading]], [[Design Phase]], [[Curriculum]]""","""Rules for how various assessments (tests, labs, projects) combine for a final grade."""
Grade calculation and aggregation formulas,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[Grading]], [[Mathematics]], [[Evaluation Phase]]""","""Defined mathematical models for calculating overall course performance."""
Rounding and borderline case policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[Grading]], [[Governance]], [[Evaluation Phase]]""","""Standards for handling decimal scores and borderline passing cases."""
Grade appeals and review processes,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[Appeals]], [[Governance]], [[Ethics]]""","""Formal process for learners to challenge an assessment result or final grade."""
Re-scoring and hand-scoring circumstances,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,"Scoring, Grading & Pass/Fail","""[[QA]], [[Evaluation Phase]], [[Ops]]""","""Specific circumstances under which an automated grade is reviewed by a human."""
Retake attempt limits and waiting periods,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Retake & Remediation Policies,"""[[Retakes]], [[Scheduling]], [[Ops]]""","""Rules defining the maximum number of attempts and mandatory wait times between them."""
Retake fee and cost recovery policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Retake & Remediation Policies,"""[[Finance]], [[Retakes]], [[Cost Allocation]]""","""Policies regarding the cost of additional assessment attempts."""
